model,rho,v_min,v_max,v_mean,trial,jaccard,llm_share_rate,gt_share_rate,source_file,source_line
deepseek-v3.1,0.6,0.9,1.2,1.05,2,0.9333333333333333,0.7,0.75,sensitivity_results\scenario_b\summary_all_results_1.json,7562
deepseek-v3.1,0.6,0.9,1.2,1.05,3,1.0,0.75,0.75,sensitivity_results\scenario_b\summary_all_results_1.json,7776
deepseek-v3.1,0.9,0.3,0.6,0.44999999999999996,1,1.0,1.0,1.0,sensitivity_results\scenario_b\summary_all_results_1.json,9898
deepseek-v3.1,0.9,0.3,0.6,0.44999999999999996,2,1.0,1.0,1.0,sensitivity_results\scenario_b\summary_all_results_1.json,10133
deepseek-v3.1,0.9,0.3,0.6,0.44999999999999996,3,0.95,0.95,1.0,sensitivity_results\scenario_b\summary_all_results_1.json,10140
deepseek-v3.1,0.9,0.6,0.9,0.75,1,0.95,0.95,1.0,sensitivity_results\scenario_b\summary_all_results_1.json,10375
deepseek-v3.1,0.9,0.6,0.9,0.75,2,0.95,0.95,1.0,sensitivity_results\scenario_b\summary_all_results_1.json,10382
deepseek-v3.1,0.9,0.6,0.9,0.75,3,0.9,0.9,1.0,sensitivity_results\scenario_b\summary_all_results_1.json,10617
deepseek-v3.1,0.9,0.9,1.2,1.05,1,0.5789473684210527,0.55,0.95,sensitivity_results\scenario_b\summary_all_results_1.json,12801
deepseek-v3.1,0.9,0.9,1.2,1.05,2,0.631578947368421,0.6,0.95,sensitivity_results\scenario_b\summary_all_results_1.json,13036
deepseek-v3.1,0.9,0.9,1.2,1.05,3,0.5789473684210527,0.55,0.95,sensitivity_results\scenario_b\summary_all_results_1.json,13043
deepseek-v3.2,0.3,0.3,0.6,0.44999999999999996,1,1.0,1.0,1.0,sensitivity_results\scenario_b\summary_all_results_deepseek-v3.2.json,3
deepseek-v3.2,0.3,0.3,0.6,0.44999999999999996,2,1.0,1.0,1.0,sensitivity_results\scenario_b\summary_all_results_deepseek-v3.2.json,238
deepseek-v3.2,0.3,0.3,0.6,0.44999999999999996,3,0.95,0.95,1.0,sensitivity_results\scenario_b\summary_all_results_deepseek-v3.2.json,245
deepseek-v3.2,0.3,0.6,0.9,0.75,1,1.0,1.0,1.0,sensitivity_results\scenario_b\summary_all_results_deepseek-v3.2.json,480
deepseek-v3.2,0.3,0.6,0.9,0.75,2,1.0,1.0,1.0,sensitivity_results\scenario_b\summary_all_results_deepseek-v3.2.json,487
deepseek-v3.2,0.3,0.6,0.9,0.75,3,1.0,1.0,1.0,sensitivity_results\scenario_b\summary_all_results_deepseek-v3.2.json,721
deepseek-v3.2,0.3,0.9,1.2,1.05,1,1.0,0.65,0.65,sensitivity_results\scenario_b\summary_all_results_deepseek-v3.2.json,728
deepseek-v3.2,0.3,0.9,1.2,1.05,2,1.0,0.65,0.65,sensitivity_results\scenario_b\summary_all_results_deepseek-v3.2.json,963
deepseek-v3.2,0.3,0.9,1.2,1.05,3,0.9230769230769231,0.6,0.65,sensitivity_results\scenario_b\summary_all_results_deepseek-v3.2.json,970
deepseek-v3.2,0.6,0.3,0.6,0.44999999999999996,1,1.0,1.0,1.0,sensitivity_results\scenario_b\summary_all_results_deepseek-v3.2.json,1205
deepseek-v3.2,0.6,0.3,0.6,0.44999999999999996,2,1.0,1.0,1.0,sensitivity_results\scenario_b\summary_all_results_deepseek-v3.2.json,1212
deepseek-v3.2,0.6,0.3,0.6,0.44999999999999996,3,0.95,0.95,1.0,sensitivity_results\scenario_b\summary_all_results_deepseek-v3.2.json,1447
deepseek-v3.2,0.6,0.6,0.9,0.75,1,0.95,0.95,1.0,sensitivity_results\scenario_b\summary_all_results_deepseek-v3.2.json,1454
deepseek-v3.2,0.6,0.6,0.9,0.75,2,1.0,1.0,1.0,sensitivity_results\scenario_b\summary_all_results_deepseek-v3.2.json,1668
deepseek-v3.2,0.6,0.6,0.9,0.75,3,1.0,1.0,1.0,sensitivity_results\scenario_b\summary_all_results_deepseek-v3.2.json,1675
deepseek-v3.2,0.6,0.9,1.2,1.05,1,0.9333333333333333,0.7,0.75,sensitivity_results\scenario_b\summary_all_results_deepseek-v3.2.json,1889
deepseek-v3.2,0.6,0.9,1.2,1.05,2,1.0,0.75,0.75,sensitivity_results\scenario_b\summary_all_results_deepseek-v3.2.json,1896
deepseek-v3.2,0.6,0.9,1.2,1.05,3,0.8666666666666667,0.65,0.75,sensitivity_results\scenario_b\summary_all_results_deepseek-v3.2.json,2109
deepseek-v3.2,0.9,0.3,0.6,0.44999999999999996,1,0.95,0.95,1.0,sensitivity_results\scenario_b\summary_all_results_deepseek-v3.2.json,2116
deepseek-v3.2,0.9,0.3,0.6,0.44999999999999996,2,0.95,0.95,1.0,sensitivity_results\scenario_b\summary_all_results_deepseek-v3.2.json,2351
deepseek-v3.2,0.9,0.3,0.6,0.44999999999999996,3,0.95,0.95,1.0,sensitivity_results\scenario_b\summary_all_results_deepseek-v3.2.json,2358
deepseek-v3.2,0.9,0.6,0.9,0.75,1,1.0,1.0,1.0,sensitivity_results\scenario_b\summary_all_results_deepseek-v3.2.json,2593
deepseek-v3.2,0.9,0.6,0.9,0.75,2,0.85,0.85,1.0,sensitivity_results\scenario_b\summary_all_results_deepseek-v3.2.json,2600
deepseek-v3.2,0.9,0.6,0.9,0.75,3,0.95,0.95,1.0,sensitivity_results\scenario_b\summary_all_results_deepseek-v3.2.json,2834
deepseek-v3.2,0.9,0.9,1.2,1.05,1,0.15789473684210525,0.15,0.95,sensitivity_results\scenario_b\summary_all_results_deepseek-v3.2.json,2841
deepseek-v3.2,0.9,0.9,1.2,1.05,2,0.5263157894736842,0.5,0.95,sensitivity_results\scenario_b\summary_all_results_deepseek-v3.2.json,3075
deepseek-v3.2,0.9,0.9,1.2,1.05,3,0.3684210526315789,0.35,0.95,sensitivity_results\scenario_b\summary_all_results_deepseek-v3.2.json,3082
gpt-5,0.3,0.3,0.6,0.44999999999999996,1,0.95,0.95,1.0,sensitivity_results\scenario_b\summary_all_results_gpt-5.json,3
gpt-5,0.3,0.3,0.6,0.44999999999999996,2,0.75,0.75,1.0,sensitivity_results\scenario_b\summary_all_results_gpt-5.json,237
gpt-5,0.3,0.3,0.6,0.44999999999999996,3,0.7,0.7,1.0,sensitivity_results\scenario_b\summary_all_results_gpt-5.json,244
gpt-5,0.3,0.6,0.9,0.75,1,0.4,0.4,1.0,sensitivity_results\scenario_b\summary_all_results_gpt-5.json,474
gpt-5,0.3,0.6,0.9,0.75,2,0.65,0.65,1.0,sensitivity_results\scenario_b\summary_all_results_gpt-5.json,481
gpt-5,0.3,0.6,0.9,0.75,3,0.55,0.55,1.0,sensitivity_results\scenario_b\summary_all_results_gpt-5.json,710
gpt-5,0.3,0.9,1.2,1.05,1,0.3076923076923077,0.2,0.65,sensitivity_results\scenario_b\summary_all_results_gpt-5.json,717
gpt-5,0.3,0.9,1.2,1.05,2,0.38461538461538464,0.25,0.65,sensitivity_results\scenario_b\summary_all_results_gpt-5.json,940
gpt-5,0.3,0.9,1.2,1.05,3,0.23076923076923078,0.15,0.65,sensitivity_results\scenario_b\summary_all_results_gpt-5.json,947
gpt-5,0.6,0.3,0.6,0.44999999999999996,1,0.75,0.75,1.0,sensitivity_results\scenario_b\summary_all_results_gpt-5.json,1175
gpt-5,0.6,0.3,0.6,0.44999999999999996,2,0.9,0.9,1.0,sensitivity_results\scenario_b\summary_all_results_gpt-5.json,1182
gpt-5,0.6,0.3,0.6,0.44999999999999996,3,0.95,0.95,1.0,sensitivity_results\scenario_b\summary_all_results_gpt-5.json,1408
gpt-5,0.6,0.6,0.9,0.75,1,0.65,0.65,1.0,sensitivity_results\scenario_b\summary_all_results_gpt-5.json,1415
gpt-5,0.6,0.6,0.9,0.75,2,0.25,0.25,1.0,sensitivity_results\scenario_b\summary_all_results_gpt-5.json,1620
gpt-5,0.6,0.6,0.9,0.75,3,0.55,0.55,1.0,sensitivity_results\scenario_b\summary_all_results_gpt-5.json,1627
gpt-5,0.6,0.9,1.2,1.05,1,0.26666666666666666,0.2,0.75,sensitivity_results\scenario_b\summary_all_results_gpt-5.json,1833
gpt-5,0.6,0.9,1.2,1.05,2,0.3333333333333333,0.25,0.75,sensitivity_results\scenario_b\summary_all_results_gpt-5.json,1840
gpt-5,0.6,0.9,1.2,1.05,3,0.2,0.15,0.75,sensitivity_results\scenario_b\summary_all_results_gpt-5.json,2044
gpt-5,0.9,0.3,0.6,0.44999999999999996,1,0.85,0.85,1.0,sensitivity_results\scenario_b\summary_all_results_gpt-5.json,2051
gpt-5,0.9,0.3,0.6,0.44999999999999996,2,0.85,0.85,1.0,sensitivity_results\scenario_b\summary_all_results_gpt-5.json,2281
gpt-5,0.9,0.3,0.6,0.44999999999999996,3,0.8,0.8,1.0,sensitivity_results\scenario_b\summary_all_results_gpt-5.json,2288
gpt-5,0.9,0.6,0.9,0.75,1,0.6,0.6,1.0,sensitivity_results\scenario_b\summary_all_results_gpt-5.json,2521
gpt-5,0.9,0.6,0.9,0.75,2,0.45,0.45,1.0,sensitivity_results\scenario_b\summary_all_results_gpt-5.json,2528
gpt-5,0.9,0.6,0.9,0.75,3,0.7,0.7,1.0,sensitivity_results\scenario_b\summary_all_results_gpt-5.json,2762
gpt-5,0.9,0.9,1.2,1.05,1,0.21052631578947367,0.2,0.95,sensitivity_results\scenario_b\summary_all_results_gpt-5.json,2769
gpt-5,0.9,0.9,1.2,1.05,2,0.2631578947368421,0.25,0.95,sensitivity_results\scenario_b\summary_all_results_gpt-5.json,2997
gpt-5,0.9,0.9,1.2,1.05,3,0.3157894736842105,0.3,0.95,sensitivity_results\scenario_b\summary_all_results_gpt-5.json,3004
gpt-5.1,0.3,0.3,0.6,0.44999999999999996,1,1.0,1.0,1.0,sensitivity_results\scenario_b\summary_all_results_1.json,3
gpt-5.1,0.3,0.3,0.6,0.44999999999999996,2,1.0,1.0,1.0,sensitivity_results\scenario_b\summary_all_results_1.json,238
gpt-5.1,0.3,0.3,0.6,0.44999999999999996,3,1.0,1.0,1.0,sensitivity_results\scenario_b\summary_all_results_1.json,245
gpt-5.1,0.3,0.6,0.9,0.75,1,1.0,1.0,1.0,sensitivity_results\scenario_b\summary_all_results_1.json,480
gpt-5.1,0.3,0.6,0.9,0.75,2,1.0,1.0,1.0,sensitivity_results\scenario_b\summary_all_results_1.json,487
gpt-5.1,0.3,0.6,0.9,0.75,3,1.0,1.0,1.0,sensitivity_results\scenario_b\summary_all_results_1.json,722
gpt-5.1,0.3,0.9,1.2,1.05,1,0.9230769230769231,0.6,0.65,sensitivity_results\scenario_b\summary_all_results_1.json,2905
gpt-5.1,0.3,0.9,1.2,1.05,2,0.6923076923076923,0.45,0.65,sensitivity_results\scenario_b\summary_all_results_1.json,3140
gpt-5.1,0.3,0.9,1.2,1.05,3,0.7692307692307693,0.5,0.65,sensitivity_results\scenario_b\summary_all_results_1.json,3147
gpt-5.1,0.6,0.3,0.6,0.44999999999999996,1,1.0,1.0,1.0,sensitivity_results\scenario_b\summary_all_results_1.json,3382
gpt-5.1,0.6,0.3,0.6,0.44999999999999996,2,1.0,1.0,1.0,sensitivity_results\scenario_b\summary_all_results_1.json,3389
gpt-5.1,0.6,0.3,0.6,0.44999999999999996,3,1.0,1.0,1.0,sensitivity_results\scenario_b\summary_all_results_1.json,3624
gpt-5.1,0.6,0.6,0.9,0.75,1,1.0,1.0,1.0,sensitivity_results\scenario_b\summary_all_results_1.json,5809
gpt-5.1,0.6,0.6,0.9,0.75,2,1.0,1.0,1.0,sensitivity_results\scenario_b\summary_all_results_1.json,6022
gpt-5.1,0.6,0.6,0.9,0.75,3,1.0,1.0,1.0,sensitivity_results\scenario_b\summary_all_results_1.json,6029
gpt-5.1,0.6,0.9,1.2,1.05,1,0.8,0.6,0.75,sensitivity_results\scenario_b\summary_all_results_1.json,6239
gpt-5.1,0.6,0.9,1.2,1.05,2,0.7333333333333333,0.55,0.75,sensitivity_results\scenario_b\summary_all_results_1.json,6246
gpt-5.1,0.6,0.9,1.2,1.05,3,0.6666666666666666,0.5,0.75,sensitivity_results\scenario_b\summary_all_results_1.json,6457
gpt-5.1,0.9,0.3,0.6,0.44999999999999996,1,0.95,0.95,1.0,sensitivity_results\scenario_b\summary_all_results_1.json,8446
gpt-5.1,0.9,0.3,0.6,0.44999999999999996,2,1.0,1.0,1.0,sensitivity_results\scenario_b\summary_all_results_1.json,8681
gpt-5.1,0.9,0.3,0.6,0.44999999999999996,3,0.9,0.9,1.0,sensitivity_results\scenario_b\summary_all_results_1.json,8688
gpt-5.1,0.9,0.6,0.9,0.75,1,0.95,0.95,1.0,sensitivity_results\scenario_b\summary_all_results_1.json,8923
gpt-5.1,0.9,0.6,0.9,0.75,2,0.9,0.9,1.0,sensitivity_results\scenario_b\summary_all_results_1.json,8930
gpt-5.1,0.9,0.6,0.9,0.75,3,1.0,1.0,1.0,sensitivity_results\scenario_b\summary_all_results_1.json,9165
gpt-5.1,0.9,0.9,1.2,1.05,1,0.5263157894736842,0.5,0.95,sensitivity_results\scenario_b\summary_all_results_1.json,11350
gpt-5.1,0.9,0.9,1.2,1.05,2,0.42105263157894735,0.4,0.95,sensitivity_results\scenario_b\summary_all_results_1.json,11585
gpt-5.1,0.9,0.9,1.2,1.05,3,0.5263157894736842,0.5,0.95,sensitivity_results\scenario_b\summary_all_results_1.json,11592
gpt-5.1-2025-11-13,0.3,0.3,0.6,0.44999999999999996,1,0.95,0.95,1.0,sensitivity_results\scenario_b\summary_all_results_1.json,729
gpt-5.1-2025-11-13,0.3,0.3,0.6,0.44999999999999996,2,0.95,0.95,1.0,sensitivity_results\scenario_b\summary_all_results_1.json,963
gpt-5.1-2025-11-13,0.3,0.3,0.6,0.44999999999999996,3,1.0,1.0,1.0,sensitivity_results\scenario_b\summary_all_results_1.json,970
gpt-5.1-2025-11-13,0.3,0.6,0.9,0.75,1,1.0,1.0,1.0,sensitivity_results\scenario_b\summary_all_results_1.json,1204
gpt-5.1-2025-11-13,0.3,0.6,0.9,0.75,2,1.0,1.0,1.0,sensitivity_results\scenario_b\summary_all_results_1.json,1211
gpt-5.1-2025-11-13,0.3,0.6,0.9,0.75,3,1.0,1.0,1.0,sensitivity_results\scenario_b\summary_all_results_1.json,1446
gpt-5.1-2025-11-13,0.3,0.9,1.2,1.05,1,0.7692307692307693,0.5,0.65,sensitivity_results\scenario_b\summary_all_results_1.json,3631
gpt-5.1-2025-11-13,0.3,0.9,1.2,1.05,2,0.8461538461538461,0.55,0.65,sensitivity_results\scenario_b\summary_all_results_1.json,3866
gpt-5.1-2025-11-13,0.3,0.9,1.2,1.05,3,0.8461538461538461,0.55,0.65,sensitivity_results\scenario_b\summary_all_results_1.json,3873
gpt-5.1-2025-11-13,0.6,0.3,0.6,0.44999999999999996,1,1.0,1.0,1.0,sensitivity_results\scenario_b\summary_all_results_1.json,4108
gpt-5.1-2025-11-13,0.6,0.3,0.6,0.44999999999999996,2,1.0,1.0,1.0,sensitivity_results\scenario_b\summary_all_results_1.json,4115
gpt-5.1-2025-11-13,0.6,0.3,0.6,0.44999999999999996,3,1.0,1.0,1.0,sensitivity_results\scenario_b\summary_all_results_1.json,4350
gpt-5.1-2025-11-13,0.6,0.6,0.9,0.75,1,1.0,1.0,1.0,sensitivity_results\scenario_b\summary_all_results_1.json,6464
gpt-5.1-2025-11-13,0.6,0.6,0.9,0.75,2,1.0,1.0,1.0,sensitivity_results\scenario_b\summary_all_results_1.json,6675
gpt-5.1-2025-11-13,0.6,0.6,0.9,0.75,3,0.95,0.95,1.0,sensitivity_results\scenario_b\summary_all_results_1.json,6682
gpt-5.1-2025-11-13,0.6,0.9,1.2,1.05,1,0.8,0.6,0.75,sensitivity_results\scenario_b\summary_all_results_1.json,6894
gpt-5.1-2025-11-13,0.6,0.9,1.2,1.05,2,0.7333333333333333,0.55,0.75,sensitivity_results\scenario_b\summary_all_results_1.json,6901
gpt-5.1-2025-11-13,0.6,0.9,1.2,1.05,3,0.8,0.6,0.75,sensitivity_results\scenario_b\summary_all_results_1.json,7113
gpt-5.1-2025-11-13,0.9,0.3,0.6,0.44999999999999996,1,1.0,1.0,1.0,sensitivity_results\scenario_b\summary_all_results_1.json,9172
gpt-5.1-2025-11-13,0.9,0.3,0.6,0.44999999999999996,2,1.0,1.0,1.0,sensitivity_results\scenario_b\summary_all_results_1.json,9407
gpt-5.1-2025-11-13,0.9,0.3,0.6,0.44999999999999996,3,1.0,1.0,1.0,sensitivity_results\scenario_b\summary_all_results_1.json,9414
gpt-5.1-2025-11-13,0.9,0.6,0.9,0.75,1,0.9,0.9,1.0,sensitivity_results\scenario_b\summary_all_results_1.json,9649
gpt-5.1-2025-11-13,0.9,0.6,0.9,0.75,2,0.95,0.95,1.0,sensitivity_results\scenario_b\summary_all_results_1.json,9656
gpt-5.1-2025-11-13,0.9,0.6,0.9,0.75,3,0.9,0.9,1.0,sensitivity_results\scenario_b\summary_all_results_1.json,9891
gpt-5.1-2025-11-13,0.9,0.9,1.2,1.05,1,0.5789473684210527,0.55,0.95,sensitivity_results\scenario_b\summary_all_results_1.json,12076
gpt-5.1-2025-11-13,0.9,0.9,1.2,1.05,2,0.5789473684210527,0.55,0.95,sensitivity_results\scenario_b\summary_all_results_1.json,12311
gpt-5.1-2025-11-13,0.9,0.9,1.2,1.05,3,0.47368421052631576,0.45,0.95,sensitivity_results\scenario_b\summary_all_results_1.json,12318
gpt-5.2,0.3,0.3,0.6,0.44999999999999996,1,1.0,1.0,1.0,sensitivity_results\scenario_b\summary_all_results_gpt-5.2.json,3
gpt-5.2,0.3,0.3,0.6,0.44999999999999996,2,1.0,1.0,1.0,sensitivity_results\scenario_b\summary_all_results_gpt-5.2.json,238
gpt-5.2,0.3,0.3,0.6,0.44999999999999996,3,1.0,1.0,1.0,sensitivity_results\scenario_b\summary_all_results_gpt-5.2.json,245
